what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1408190154666
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1408190154667
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1408190154668
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1408190154668
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1408190154669
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1408190154669
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1408190154669
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1408190154670
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1408190154671
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1408190154671
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1408190154672
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1408190154672
started,bundle,de.innot.avreclipse.core,2.4.0.201203041437,"de.innot.avreclipse.core",1408190154673
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1408190154699
os,sysinfo,,,"win32",1408190154700
arch,sysinfo,,,"x86",1408190154700
ws,sysinfo,,,"win32",1408190154700
locale,sysinfo,,,"pl_PL",1408190154700
processors,sysinfo,,,"8",1408190154700
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1408190154700
java.runtime.version,sysinfo,,,"1.7.0_65-b20",1408190154700
java.specification.name,sysinfo,,,"Java Platform API Specification",1408190154700
java.specification.vendor,sysinfo,,,"Oracle Corporation",1408190154700
java.specification.version,sysinfo,,,"1.7",1408190154700
java.vendor,sysinfo,,,"Oracle Corporation",1408190154700
